category_class	count_descendants
MONDO:0850514	0
MONDO:0850495	0
MONDO:0850492	0
MONDO:0850473	0
MONDO:0850472	0
MONDO:0850471	0
MONDO:0850470	0
MONDO:0850469	2
MONDO:0850468	0
MONDO:0850461	0
MONDO:0850459	0
MONDO:0850452	0
MONDO:0850451	0
MONDO:0850450	0
MONDO:0850449	0
MONDO:0850445	0
MONDO:0850426	0
MONDO:0850421	0
MONDO:0850420	0
MONDO:0850419	0
MONDO:0850418	0
MONDO:0850417	0
MONDO:0850416	0
MONDO:0850415	0
MONDO:0850388	0
MONDO:0850371	0
MONDO:0850368	0
MONDO:0850353	0
MONDO:0850349	0
MONDO:0850348	0
MONDO:0850347	0
MONDO:0850346	0
MONDO:0850345	0
MONDO:0850340	3
MONDO:0850339	2
MONDO:0850338	0
MONDO:0850335	0
MONDO:0850333	0
MONDO:0850332	3
MONDO:0850312	1
MONDO:0850306	0
MONDO:0850303	0
MONDO:0850302	8
MONDO:0850301	0
MONDO:0850295	0
MONDO:0850292	0
MONDO:0850289	0
MONDO:0850287	0
MONDO:0850286	0
MONDO:0850285	0
MONDO:0850284	0
MONDO:0850283	1
MONDO:0850282	5
MONDO:0850281	0
MONDO:0850273	0
MONDO:0850271	0
MONDO:0850269	0
MONDO:0850267	0
MONDO:0850257	0
MONDO:0850231	0
MONDO:0850230	1
MONDO:0850225	0
MONDO:0850223	0
MONDO:0850201	0
MONDO:0850200	0
MONDO:0850199	0
MONDO:0850198	2
MONDO:0850197	2
MONDO:0850196	0
MONDO:0850170	0
MONDO:0850162	0
MONDO:0850161	0
MONDO:0850160	0
MONDO:0850157	0
MONDO:0850156	0
MONDO:0850154	0
MONDO:0850152	0
MONDO:0850151	0
MONDO:0850150	0
MONDO:0850149	0
MONDO:0850144	1
MONDO:0850130	0
MONDO:0850129	0
MONDO:0850128	0
MONDO:0850127	0
MONDO:0850126	0
MONDO:0850125	1
MONDO:0850123	0
MONDO:0850122	0
MONDO:0850115	0
MONDO:0850112	0
MONDO:0850110	0
MONDO:0850109	0
MONDO:0850108	0
MONDO:0850107	0
MONDO:0850106	0
MONDO:0850105	0
MONDO:0850104	0
MONDO:0850103	0
MONDO:0850102	0
MONDO:0850101	0
MONDO:0850100	0
MONDO:0850099	0
MONDO:0850098	0
MONDO:0850097	0
MONDO:0850096	0
MONDO:0850095	0
MONDO:0850094	0
MONDO:0850092	0
MONDO:0850090	0
MONDO:0850089	0
MONDO:0850088	0
MONDO:0850087	0
MONDO:0850084	0
MONDO:0850083	0
MONDO:0850082	0
MONDO:0850081	0
MONDO:0850080	0
MONDO:0850079	0
MONDO:0850078	0
MONDO:0850077	0
MONDO:0850076	0
MONDO:0850075	0
MONDO:0850074	0
MONDO:0850073	0
MONDO:0850072	0
MONDO:0850071	0
MONDO:0850070	0
MONDO:0850069	0
MONDO:0850068	0
MONDO:0850067	0
MONDO:0850066	0
MONDO:0850065	0
MONDO:0850064	0
MONDO:0850059	0
MONDO:0850058	0
MONDO:0850054	0
MONDO:0850053	0
MONDO:0850050	0
MONDO:0850049	0
MONDO:0850048	0
MONDO:0850046	0
MONDO:0850030	0
MONDO:0850015	0
MONDO:0850014	0
MONDO:0850013	0
MONDO:0850010	0
MONDO:0850009	0
MONDO:0850008	0
MONDO:0850007	0
MONDO:0850001	0
MONDO:0810000	0
MONDO:0800503	0
MONDO:0800502	4
MONDO:0800501	0
MONDO:0800500	8
MONDO:0800499	2
MONDO:0800498	2
MONDO:0800496	1
MONDO:0800495	19
MONDO:0800494	1
MONDO:0800493	1
MONDO:0800492	17
MONDO:0800491	3
MONDO:0800490	14
MONDO:0800489	0
MONDO:0800488	5
MONDO:0800487	5
MONDO:0800486	25
MONDO:0800485	1
MONDO:0800484	3
MONDO:0800483	1
MONDO:0800481	0
MONDO:0800480	0
MONDO:0800479	0
MONDO:0800478	0
MONDO:0800477	2
MONDO:0800476	0
MONDO:0800475	0
MONDO:0800474	0
